soc_code,title,r,i,a,s,e,c,r_pct,i_pct,a_pct,s_pct,e_pct,c_pct,holland_code
11-1011.00,Chief Executives,1.26,3.05,2.16,3.54,6.96,4.97,5.74,13.90,9.85,16.13,31.72,22.65,ECS
11-1011.03,Chief Sustainability Officers,2.04,4.78,2.48,3.55,6.68,4.49,8.49,19.90,10.32,14.78,27.81,18.69,EIC
11-1021.00,General and Operations Managers,2.20,2.37,1.29,3.38,7.00,5.34,10.19,10.98,5.98,15.66,32.44,24.75,ECS
11-1031.00,Legislators,1.54,3.35,2.70,3.69,5.52,3.62,7.54,16.41,13.22,18.07,27.03,17.73,ESC
11-2011.00,Advertising and Promotions Managers,1.00,1.69,3.87,3.14,7.00,4.43,4.73,8.00,18.32,14.86,33.13,20.97,ECA
11-2021.00,Marketing Managers,1.00,2.90,2.45,2.82,7.00,4.70,4.79,13.90,11.74,13.51,33.54,22.52,ECI
11-2022.00,Sales Managers,1.49,1.67,1.36,3.37,7.00,5.53,7.30,8.18,6.66,16.50,34.28,27.08,ECS
11-2032.00,Public Relations Managers,1.00,2.34,3.67,4.18,7.00,4.39,4.43,10.36,16.25,18.51,31.00,19.44,ECS
11-2033.00,Fundraising Managers,1.00,2.41,2.61,3.76,7.00,4.82,4.63,11.16,12.08,17.41,32.41,22.31,ECS
11-3012.00,Administrative Services Managers,1.42,2.12,1.11,3.74,6.47,6.27,6.72,10.03,5.25,17.70,30.62,29.67,ECS
11-3013.00,Facilities Managers,4.15,2.60,1.61,3.58,5.35,5.35,18.33,11.48,7.11,15.81,23.63,23.63,ECR
11-3013.01,Security Managers,3.39,3.69,1.30,2.75,5.63,5.43,15.28,16.63,5.86,12.39,25.37,24.47,ECI
11-3021.00,Computer and Information Systems Managers,2.68,4.49,1.47,2.35,5.09,5.94,12.17,20.39,6.68,10.67,23.12,26.98,CEI
11-3031.00,Financial Managers,1.36,2.46,1.59,3.04,7.00,5.56,6.47,11.71,7.57,14.47,33.32,26.46,ECS
11-3031.01,Treasurers and Controllers,1.00,2.20,1.17,2.68,6.15,6.44,5.09,11.20,5.96,13.65,31.31,32.79,CES
11-3031.03,Investment Fund Managers,1.48,3.77,1.65,2.69,6.95,5.21,6.80,17.33,7.59,12.37,31.95,23.95,ECI
11-3051.00,Industrial Production Managers,4.00,2.92,1.40,1.85,6.03,5.21,18.68,13.64,6.54,8.64,28.16,24.33,ECR
11-3051.01,Quality Control Systems Managers,3.58,4.12,1.28,2.07,5.09,5.42,16.60,19.11,5.94,9.60,23.61,25.14,CEI
11-3051.02,Geothermal Production Managers,5.35,3.35,1.00,2.07,4.58,4.82,25.27,15.82,4.72,9.78,21.63,22.77,RCE
11-3051.03,Biofuels Production Managers,4.59,3.74,1.00,1.83,5.41,5.06,21.22,17.29,4.62,8.46,25.01,23.39,ECR
11-3051.04,Biomass Power Plant Managers,5.12,3.19,1.00,1.72,4.86,5.34,24.12,15.03,4.71,8.10,22.89,25.15,CRE
11-3051.06,Hydroelectric Production Managers,5.37,3.64,1.00,1.83,4.57,5.02,25.06,16.99,4.67,8.54,21.33,23.43,RCE
11-3061.00,Purchasing Managers,2.49,1.77,1.20,2.70,7.00,5.98,11.78,8.37,5.68,12.77,33.11,28.29,ECS
11-3071.00,"Transportation, Storage, and Distribution Managers",3.60,2.64,1.00,2.39,5.99,5.74,16.85,12.36,4.68,11.19,28.04,26.87,ECR
11-3071.04,Supply Chain Managers,3.39,2.46,1.00,2.04,6.24,5.25,16.63,12.07,4.91,10.01,30.62,25.76,ECR
11-3111.00,Compensation and Benefits Managers,1.00,2.18,1.41,3.81,7.00,5.66,4.75,10.35,6.70,18.09,33.24,26.88,ECS
11-3121.00,Human Resources Managers,1.26,2.31,1.50,3.88,7.00,5.54,5.86,10.75,6.98,18.05,32.57,25.78,ECS
11-3131.00,Training and Development Managers,1.90,3.04,2.57,5.54,6.35,4.04,8.11,12.97,10.96,23.63,27.09,17.24,ESC
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",5.16,2.74,1.06,2.63,5.52,4.53,23.84,12.66,4.90,12.15,25.51,20.93,ERC
11-9021.00,Construction Managers,4.68,3.18,1.70,2.35,5.73,4.80,20.86,14.17,7.58,10.47,25.53,21.39,ECR
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",1.20,2.90,2.78,6.46,4.85,4.53,5.28,12.76,12.24,28.43,21.35,19.94,SEC
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.31,3.06,2.84,5.72,5.34,4.68,5.71,13.33,12.37,24.92,23.27,20.39,SEC
11-9033.00,"Education Administrators, Postsecondary",1.00,3.83,2.81,5.64,5.30,4.91,4.26,16.30,11.96,24.01,22.56,20.90,SEC
11-9041.00,Architectural and Engineering Managers,2.99,4.56,2.64,2.95,6.40,4.43,12.47,19.02,11.01,12.31,26.70,18.48,EIC
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.16,5.84,2.11,2.10,4.70,3.51,18.55,26.05,9.41,9.37,20.96,15.66,IER
11-9051.00,Food Service Managers,4.16,1.96,1.63,3.53,5.97,5.06,18.65,8.79,7.31,15.82,26.76,22.68,ECR
11-9071.00,Gambling Managers,2.80,1.35,1.09,2.86,6.74,5.46,13.79,6.65,5.37,14.09,33.20,26.90,ECS
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",3.35,1.96,1.98,3.93,6.25,5.04,14.88,8.71,8.80,17.46,27.77,22.39,ECS
11-9081.00,Lodging Managers,2.69,1.10,1.43,4.31,6.21,5.22,12.83,5.25,6.82,20.56,29.63,24.90,ECS
11-9111.00,Medical and Health Services Managers,2.05,3.75,1.45,4.40,5.95,5.17,9.00,16.47,6.37,19.32,26.13,22.71,ECS
11-9121.00,Natural Sciences Managers,2.74,5.87,2.44,3.09,5.60,4.22,11.44,24.50,10.18,12.90,23.37,17.61,IEC
11-9121.01,Clinical Research Coordinators,1.58,5.90,1.76,3.58,4.31,4.81,7.20,26.89,8.02,16.32,19.64,21.92,ICE
11-9121.02,Water Resource Specialists,4.45,5.80,1.78,2.58,3.53,4.17,19.95,26.00,7.98,11.56,15.82,18.69,IRC
11-9131.00,Postmasters and Mail Superintendents,2.14,1.30,1.17,3.35,6.00,5.69,10.89,6.62,5.95,17.05,30.53,28.96,ECS
11-9141.00,"Property, Real Estate, and Community Association Managers",3.28,2.11,1.69,3.53,6.67,5.26,14.55,9.36,7.50,15.66,29.59,23.34,ECS
11-9151.00,Social and Community Service Managers,1.00,2.17,2.43,5.43,6.97,4.21,4.50,9.77,10.94,24.45,31.38,18.96,ESC
11-9161.00,Emergency Management Directors,3.53,4.49,1.82,4.01,5.07,4.69,14.95,19.02,7.71,16.98,21.47,19.86,ECI
11-9171.00,Funeral Home Managers,2.81,2.32,1.89,4.35,6.38,4.56,12.60,10.40,8.47,19.50,28.60,20.44,ECS
11-9179.01,Fitness and Wellness Coordinators,3.21,2.69,2.14,5.58,5.42,3.65,14.15,11.86,9.43,24.59,23.89,16.09,SEC
11-9179.02,Spa Managers,2.50,1.31,1.84,4.19,7.00,4.91,11.49,6.02,8.46,19.26,32.18,22.57,ECS
11-9199.01,Regulatory Affairs Managers,1.93,2.99,1.34,2.65,6.55,5.67,9.13,14.15,6.34,12.54,31.00,26.83,ECI
11-9199.02,Compliance Managers,1.92,2.98,1.00,3.10,5.93,6.30,9.04,14.04,4.71,14.60,27.93,29.67,CES
11-9199.08,Loss Prevention Managers,3.43,3.62,1.00,2.85,5.62,5.85,15.33,16.18,4.47,12.74,25.12,26.15,CEI
11-9199.09,Wind Energy Operations Managers,4.16,3.04,1.00,2.34,6.47,5.24,18.70,13.66,4.49,10.52,29.08,23.55,ECR
11-9199.10,Wind Energy Development Managers,3.44,3.86,1.66,2.38,6.71,4.82,15.04,16.88,7.26,10.41,29.34,21.08,ECI
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,4.49,4.31,1.46,2.03,4.54,4.69,20.86,20.03,6.78,9.43,21.10,21.79,CER
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",1.00,1.76,3.55,4.14,6.48,3.73,4.84,8.52,17.18,20.04,31.36,18.05,ESC
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4.56,1.85,1.08,1.74,4.91,4.80,24.08,9.77,5.70,9.19,25.92,25.34,ECR
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.37,1.92,1.56,2.45,5.23,5.17,17.11,9.75,7.92,12.44,26.55,26.24,ECR
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.50,1.82,1.19,1.93,5.09,5.65,18.25,9.49,6.20,10.06,26.54,29.46,CER
13-1031.00,"Claims Adjusters, Examiners, and Investigators",1.23,3.53,1.00,2.61,4.77,6.23,6.35,18.22,5.16,13.47,24.63,32.16,CEI
13-1032.00,"Insurance Appraisers, Auto Damage",5.17,3.04,1.16,1.64,3.54,5.44,25.86,15.21,5.80,8.20,17.71,27.21,CRE
13-1041.00,Compliance Officers,2.51,3.07,1.00,2.97,4.08,6.33,12.58,15.38,5.01,14.88,20.44,31.71,CEI
13-1041.01,Environmental Compliance Inspectors,4.57,4.77,1.05,2.35,3.21,5.84,20.97,21.89,4.82,10.78,14.73,26.80,CIR
13-1041.03,Equal Opportunity Representatives and Officers,1.23,3.01,1.73,4.24,5.37,5.21,5.92,14.48,8.32,20.39,25.83,25.06,ECS
13-1041.04,Government Property Inspectors and Investigators,3.09,3.32,1.00,2.41,4.20,6.26,15.24,16.37,4.93,11.88,20.71,30.87,CEI
13-1041.06,Coroners,4.04,4.94,1.50,3.10,4.09,4.86,17.93,21.93,6.66,13.76,18.15,21.57,ICE
13-1041.07,Regulatory Affairs Specialists,1.40,3.32,1.00,2.50,4.46,6.32,7.37,17.47,5.26,13.16,23.47,33.26,CEI
13-1041.08,Customs Brokers,2.37,1.53,1.00,2.17,5.02,6.13,13.01,8.40,5.49,11.91,27.55,33.64,CER
13-1051.00,Cost Estimators,3.01,3.18,1.12,1.66,4.65,6.44,15.00,15.85,5.58,8.28,23.18,32.10,CEI
13-1071.00,Human Resources Specialists,1.03,2.52,1.35,3.78,5.67,5.52,5.18,12.68,6.79,19.02,28.54,27.78,ECS
13-1074.00,Farm Labor Contractors,4.85,1.54,1.00,3.24,4.99,4.39,24.24,7.70,5.00,16.19,24.94,21.94,ERC
13-1075.00,Labor Relations Specialists,1.31,3.10,1.71,3.72,5.65,4.61,6.52,15.42,8.51,18.51,28.11,22.94,ECS
13-1081.00,Logisticians,2.35,3.81,1.10,2.33,5.02,5.44,11.72,19.00,5.49,11.62,25.04,27.13,CEI
13-1081.01,Logistics Engineers,4.02,5.22,1.07,1.31,3.76,5.67,19.10,24.80,5.08,6.22,17.86,26.94,CIR
13-1081.02,Logistics Analysts,2.88,4.04,1.00,1.52,4.47,6.79,13.91,19.52,4.83,7.34,21.59,32.80,CEI
13-1082.00,Project Management Specialists,1.48,2.75,1.57,3.32,6.30,5.55,7.06,13.11,7.49,15.83,30.04,26.47,ECS
13-1111.00,Management Analysts,1.37,5.44,1.63,2.82,4.81,6.05,6.19,24.59,7.37,12.75,21.75,27.35,CIE
13-1121.00,"Meeting, Convention, and Event Planners",1.00,1.56,2.49,4.56,7.00,4.96,4.64,7.23,11.54,21.14,32.45,22.99,ECS
13-1131.00,Fundraisers,1.00,2.02,3.22,4.23,6.03,4.07,4.86,9.82,15.65,20.56,29.31,19.79,ESC
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",1.29,3.42,1.41,3.64,5.38,5.80,6.16,16.33,6.73,17.38,25.69,27.70,CES
13-1151.00,Training and Development Specialists,2.03,4.03,3.19,5.64,3.68,3.76,9.09,18.05,14.29,25.26,16.48,16.84,SIC
13-1161.00,Market Research Analysts and Marketing Specialists,1.08,4.60,2.56,2.47,5.52,4.62,5.18,22.06,12.28,11.85,26.47,22.16,ECI
13-1161.01,Search Marketing Strategists,1.00,3.78,3.23,2.76,5.54,4.68,4.76,18.01,15.39,13.15,26.39,22.30,ECI
13-1199.04,Business Continuity Planners,2.00,4.39,1.66,3.06,5.23,5.06,9.35,20.51,7.76,14.30,24.44,23.64,ECI
13-1199.05,Sustainability Specialists,2.06,5.20,2.50,2.95,5.09,4.41,9.28,23.41,11.26,13.28,22.92,19.86,IEC
13-1199.06,Online Merchants,2.42,1.61,1.88,2.32,5.78,5.97,12.11,8.06,9.41,11.61,28.93,29.88,CER
13-1199.07,Security Management Specialists,3.86,5.09,1.68,1.96,3.73,5.68,17.55,23.14,7.64,8.91,16.95,25.82,CIR
13-2011.00,Accountants and Auditors,1.14,3.57,1.08,2.13,3.87,7.00,6.07,19.00,5.75,11.34,20.60,37.25,CEI
13-2022.00,Appraisers of Personal and Business Property,3.59,2.57,2.09,1.68,4.65,6.00,17.44,12.49,10.16,8.16,22.59,29.15,CER
13-2023.00,Appraisers and Assessors of Real Estate,2.70,2.85,1.61,2.63,4.87,5.81,13.19,13.92,7.87,12.85,23.79,28.38,CEI
13-2031.00,Budget Analysts,1.00,3.72,1.58,2.25,4.91,7.00,4.89,18.18,7.72,11.00,24.00,34.21,CEI
13-2041.00,Credit Analysts,1.00,3.79,1.00,2.41,4.55,6.85,5.10,19.34,5.10,12.30,23.21,34.95,CEI
13-2051.00,Financial and Investment Analysts,1.00,5.06,1.78,2.25,5.09,5.54,4.83,24.42,8.59,10.86,24.57,26.74,CEI
13-2052.00,Personal Financial Advisors,1.00,3.27,1.69,4.07,5.85,5.61,4.65,15.22,7.86,18.94,27.22,26.11,ECS
13-2053.00,Insurance Underwriters,1.72,3.64,1.00,2.84,4.50,6.16,8.66,18.33,5.04,14.30,22.66,31.02,CEI
13-2054.00,Financial Risk Specialists,1.67,4.96,1.31,2.48,4.92,5.36,8.07,23.96,6.33,11.98,23.77,25.89,CIE
13-2061.00,Financial Examiners,1.34,3.60,1.00,2.50,4.63,6.40,6.88,18.49,5.14,12.84,23.78,32.87,CEI
13-2071.00,Credit Counselors,1.00,2.65,1.80,4.89,4.73,5.35,4.90,12.98,8.81,23.95,23.16,26.20,CSE
13-2072.00,Loan Officers,1.43,2.32,1.00,3.65,4.98,6.08,7.35,11.92,5.14,18.76,25.59,31.24,CES
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.21,2.47,1.00,3.15,4.38,6.85,6.35,12.96,5.25,16.53,22.98,35.94,CES
13-2082.00,Tax Preparers,2.17,2.38,1.00,2.26,3.38,6.79,12.07,13.24,5.56,12.57,18.80,37.76,CEI
13-2099.01,Financial Quantitative Analysts,1.63,6.67,1.85,1.58,3.45,5.79,7.77,31.81,8.82,7.53,16.45,27.61,ICE
13-2099.04,"Fraud Examiners, Investigators and Analysts",2.01,4.67,1.22,1.95,4.57,5.62,10.03,23.30,6.09,9.73,22.80,28.04,CIE
15-1211.00,Computer Systems Analysts,3.27,6.39,1.98,1.91,2.23,5.93,15.06,29.43,9.12,8.80,10.27,27.31,ICR
15-1211.01,Health Informatics Specialists,2.84,6.29,1.99,4.52,2.08,4.71,12.66,28.04,8.87,20.15,9.27,21.00,ICS
15-1212.00,Information Security Analysts,3.56,5.40,1.34,2.11,2.85,6.08,16.68,25.30,6.28,9.89,13.36,28.49,CIR
15-1221.00,Computer and Information Research Scientists,3.74,7.00,2.95,2.00,2.49,4.80,16.28,30.46,12.84,8.70,10.84,20.89,ICR
15-1231.00,Computer Network Support Specialists,4.38,4.61,1.00,2.28,2.64,5.45,21.51,22.64,4.91,11.20,12.97,26.77,CIR
15-1232.00,Computer User Support Specialists,4.13,3.77,1.00,3.31,2.36,6.02,20.06,18.31,4.86,16.08,11.46,29.24,CRI
15-1241.00,Computer Network Architects,4.04,5.28,2.25,2.17,3.20,5.06,18.36,24.00,10.23,9.86,14.55,23.00,ICR
15-1241.01,Telecommunications Engineering Specialists,4.54,4.29,1.90,2.31,3.07,4.95,21.56,20.37,9.02,10.97,14.58,23.50,CRI
15-1242.00,Database Administrators,2.83,4.83,1.20,2.29,2.94,6.61,13.67,23.33,5.80,11.06,14.20,31.93,CIE
15-1243.00,Database Architects,2.63,5.63,2.16,1.91,2.68,6.12,12.45,26.64,10.22,9.04,12.68,28.96,CIE
15-1243.01,Data Warehousing Specialists,2.93,4.79,1.62,2.03,3.05,6.38,14.09,23.03,7.79,9.76,14.66,30.67,CIE
15-1244.00,Network and Computer Systems Administrators,4.19,4.04,1.00,2.22,3.46,6.18,19.87,19.16,4.74,10.53,16.41,29.30,CRI
15-1251.00,Computer Programmers,3.37,5.10,2.51,1.98,2.09,5.92,16.07,24.32,11.97,9.44,9.97,28.23,CIR
15-1252.00,Software Developers,3.61,6.05,2.37,1.81,1.87,5.62,16.92,28.36,11.11,8.49,8.77,26.35,ICR
15-1253.00,Software Quality Assurance Analysts and Testers,3.80,5.76,1.69,1.53,1.57,5.67,18.98,28.77,8.44,7.64,7.84,28.32,ICR
15-1254.00,Web Developers,2.98,5.01,3.13,2.22,2.96,5.03,13.97,23.49,14.67,10.41,13.88,23.58,CIA
15-1255.00,Web and Digital Interface Designers,2.59,4.88,4.48,2.20,3.13,4.40,11.95,22.51,20.66,10.15,14.44,20.30,IAC
15-1255.01,Video Game Designers,2.77,4.15,6.38,2.30,3.92,3.85,11.85,17.76,27.30,9.84,16.77,16.47,AIE
15-1299.01,Web Administrators,2.45,4.41,2.42,2.27,3.77,5.54,11.74,21.14,11.60,10.88,18.07,26.56,CIE
15-1299.02,Geographic Information Systems Technologists and Technicians,4.26,5.19,2.31,1.93,1.93,5.88,19.81,24.14,10.74,8.98,8.98,27.35,CIR
15-1299.03,Document Management Specialists,1.75,3.89,1.81,2.29,2.93,6.74,9.02,20.04,9.33,11.80,15.10,34.72,CIE
15-1299.04,Penetration Testers,3.91,5.19,1.31,1.99,2.10,5.18,19.87,26.37,6.66,10.11,10.67,26.32,ICR
15-1299.05,Information Security Engineers,4.30,5.54,1.33,1.83,2.66,6.06,19.80,25.51,6.12,8.43,12.25,27.90,CIR
15-1299.06,Digital Forensics Analysts,3.20,6.11,1.69,1.65,2.71,6.03,14.96,28.56,7.90,7.71,12.67,28.19,ICR
15-1299.07,Blockchain Engineers,3.40,5.28,2.07,1.57,3.39,5.69,15.89,24.67,9.67,7.34,15.84,26.59,CIR
15-1299.08,Computer Systems Engineers/Architects,4.10,5.46,1.88,2.10,3.03,5.76,18.36,24.45,8.42,9.40,13.57,25.79,CIR
15-1299.09,Information Technology Project Managers,1.73,3.87,1.77,2.67,5.91,5.31,8.14,18.20,8.33,12.56,27.80,24.98,ECI
15-2011.00,Actuaries,1.78,4.45,1.13,2.49,3.33,6.29,9.14,22.86,5.80,12.79,17.10,32.31,CIE
15-2021.00,Mathematicians,3.22,7.00,3.23,1.95,1.11,5.03,14.95,32.50,15.00,9.05,5.15,23.35,ICA
15-2031.00,Operations Research Analysts,1.90,6.26,2.18,2.02,3.14,5.76,8.94,29.44,10.25,9.50,14.77,27.09,ICE
15-2041.00,Statisticians,2.14,6.58,1.77,1.71,1.82,6.03,10.67,32.82,8.83,8.53,9.08,30.07,ICR
15-2041.01,Biostatisticians,2.43,7.00,2.80,3.11,1.98,4.40,11.19,32.23,12.89,14.32,9.12,20.26,ICS
15-2051.00,Data Scientists,2.17,6.98,2.61,1.66,1.71,5.39,10.58,34.02,12.72,8.09,8.33,26.27,ICA
15-2051.01,Business Intelligence Analysts,1.24,5.41,1.93,1.85,4.42,5.79,6.01,26.21,9.35,8.96,21.41,28.05,CIE
15-2051.02,Clinical Data Managers,1.25,5.66,1.27,2.82,3.30,6.58,5.99,27.11,6.08,13.51,15.80,31.51,CIE
15-2099.01,Bioinformatics Technicians,3.81,6.42,1.58,1.69,1.00,6.04,18.55,31.26,7.69,8.23,4.87,29.41,ICR
17-1011.00,"Architects, Except Landscape and Naval",4.92,3.88,4.13,2.53,3.65,4.44,20.89,16.48,17.54,10.74,15.50,18.85,RCA
17-1012.00,Landscape Architects,5.42,4.73,4.68,2.67,3.65,3.70,21.81,19.03,18.83,10.74,14.69,14.89,RIA
17-1021.00,Cartographers and Photogrammetrists,4.62,5.18,3.55,1.78,1.64,5.34,20.90,23.43,16.06,8.05,7.42,24.15,CIR
17-1022.00,Surveyors,5.25,4.73,2.12,1.63,1.88,5.29,25.12,22.63,10.14,7.80,9.00,25.31,CRI
17-1022.01,Geodetic Surveyors,5.50,5.40,1.54,1.74,1.61,5.29,26.09,25.62,7.31,8.25,7.64,25.09,RIC
17-2011.00,Aerospace Engineers,5.65,6.05,2.35,1.25,2.52,4.44,25.38,27.18,10.56,5.62,11.32,19.95,IRC
17-2021.00,Agricultural Engineers,6.65,6.29,2.19,1.73,2.31,3.77,28.99,27.42,9.55,7.54,10.07,16.43,RIC
17-2031.00,Bioengineers and Biomedical Engineers,5.44,6.75,2.11,2.45,1.84,4.48,23.58,29.26,9.15,10.62,7.98,19.42,IRC
17-2041.00,Chemical Engineers,6.27,5.75,1.80,1.02,1.85,4.54,29.53,27.08,8.48,4.80,8.71,21.38,RIC
17-2051.00,Civil Engineers,6.43,5.15,2.21,1.69,2.66,4.61,28.26,22.64,9.71,7.43,11.69,20.26,RIC
17-2051.01,Transportation Engineers,5.37,5.08,2.13,1.97,3.09,4.41,24.35,23.04,9.66,8.93,14.01,20.00,RIC
17-2051.02,Water/Wastewater Engineers,5.62,5.35,1.85,1.76,2.90,4.53,25.53,24.31,8.41,8.00,13.18,20.58,RIC
17-2061.00,Computer Hardware Engineers,5.69,5.56,1.83,1.82,1.98,5.37,25.57,24.99,8.22,8.18,8.90,24.13,RIC
17-2071.00,Electrical Engineers,6.02,5.45,2.12,1.72,2.44,4.43,27.14,24.57,9.56,7.75,11.00,19.97,RIC
17-2072.00,"Electronics Engineers, Except Computer",6.24,5.81,2.03,1.59,1.62,4.68,28.40,26.45,9.24,7.24,7.37,21.30,RIC
17-2072.01,Radio Frequency Identification Device Specialists,5.08,4.85,1.41,1.54,1.56,5.31,25.72,24.56,7.14,7.80,7.90,26.89,CRI
17-2081.00,Environmental Engineers,5.17,6.10,1.96,2.22,3.17,4.59,22.27,26.28,8.44,9.56,13.66,19.78,IRC
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",5.36,5.63,1.04,2.17,2.27,4.68,25.34,26.62,4.92,10.26,10.73,22.13,IRC
17-2111.02,Fire-Prevention and Protection Engineers,6.33,5.19,1.47,2.84,2.80,4.47,27.40,22.47,6.36,12.29,12.12,19.35,RIC
17-2112.00,Industrial Engineers,4.96,4.99,1.58,1.37,3.29,5.35,23.03,23.17,7.34,6.36,15.27,24.84,CIR
17-2112.01,Human Factors Engineers and Ergonomists,4.54,6.21,2.65,2.15,2.59,4.40,20.14,27.55,11.76,9.54,11.49,19.52,IRC
17-2112.02,Validation Engineers,4.85,5.56,1.48,1.43,2.02,5.07,23.76,27.24,7.25,7.01,9.90,24.84,ICR
17-2112.03,Manufacturing Engineers,5.27,4.53,2.22,1.60,3.09,4.41,24.95,21.45,10.51,7.58,14.63,20.88,RIC
17-2121.00,Marine Engineers and Naval Architects,5.74,5.71,2.62,1.27,3.26,4.31,25.05,24.92,11.44,5.54,14.23,18.81,RIC
17-2131.00,Materials Engineers,5.88,5.82,2.54,1.38,2.06,4.11,26.98,26.71,11.66,6.33,9.45,18.86,RIC
17-2141.00,Mechanical Engineers,6.39,5.12,2.02,1.22,1.97,4.83,29.65,23.76,9.37,5.66,9.14,22.41,RIC
17-2141.01,Fuel Cell Engineers,5.53,5.37,1.83,1.44,2.51,4.06,26.66,25.89,8.82,6.94,12.10,19.58,RIC
17-2141.02,Automotive Engineers,6.17,5.67,2.55,1.37,2.13,4.06,28.11,25.83,11.62,6.24,9.70,18.50,RIC
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",6.08,5.58,1.55,1.84,2.75,4.64,27.09,24.87,6.91,8.20,12.25,20.68,RIC
17-2161.00,Nuclear Engineers,4.92,6.44,2.05,1.89,2.53,4.48,22.05,28.87,9.19,8.47,11.34,20.08,IRC
17-2171.00,Petroleum Engineers,5.37,5.33,1.92,1.78,3.04,4.32,24.68,24.49,8.82,8.18,13.97,19.85,RIC
17-2199.03,"Energy Engineers, Except Wind and Solar",5.20,4.69,2.03,2.24,3.09,4.40,24.02,21.66,9.38,10.35,14.27,20.32,RIC
17-2199.05,Mechatronics Engineers,5.68,5.55,2.43,1.58,1.72,4.84,26.06,25.46,11.15,7.25,7.89,22.20,RIC
17-2199.06,Microsystems Engineers,5.48,6.19,1.93,1.55,1.40,4.91,25.54,28.84,8.99,7.22,6.52,22.88,IRC
17-2199.07,Photonics Engineers,5.90,5.88,2.80,1.39,1.70,3.96,27.28,27.18,12.94,6.43,7.86,18.31,RIC
17-2199.08,Robotics Engineers,6.18,5.61,1.79,1.49,1.79,4.48,28.96,26.29,8.39,6.98,8.39,20.99,RIC
17-2199.09,Nanosystems Engineers,5.31,6.10,2.36,1.47,2.57,4.04,24.30,27.92,10.80,6.73,11.76,18.49,IRC
17-2199.10,Wind Energy Engineers,5.90,4.54,2.22,1.43,3.12,4.12,27.66,21.28,10.41,6.70,14.63,19.32,RIC
17-2199.11,Solar Energy Systems Engineers,5.97,5.02,2.11,1.90,3.05,3.96,27.12,22.81,9.59,8.63,13.86,17.99,RIC
17-3011.00,Architectural and Civil Drafters,5.54,4.23,4.48,1.55,1.53,4.89,24.93,19.04,20.16,6.98,6.89,22.01,RCA
17-3012.00,Electrical and Electronics Drafters,5.62,3.44,3.06,1.32,1.90,5.53,26.93,16.48,14.66,6.32,9.10,26.50,RCI
17-3013.00,Mechanical Drafters,5.96,3.79,3.62,1.21,1.36,4.85,28.67,18.23,17.41,5.82,6.54,23.33,RCI
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,6.47,5.11,1.00,1.00,1.44,5.31,31.82,25.14,4.92,4.92,7.08,26.12,RCI
17-3022.00,Civil Engineering Technologists and Technicians,5.75,5.37,2.88,1.55,2.00,5.27,25.20,23.53,12.62,6.79,8.76,23.09,RIC
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,6.26,5.20,1.76,1.78,1.31,5.00,29.38,24.40,8.26,8.35,6.15,23.46,RIC
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,7.00,4.38,1.38,1.00,1.00,4.58,36.19,22.65,7.14,5.17,5.17,23.68,RCI
17-3024.01,Robotics Technicians,6.94,3.88,1.00,1.13,1.37,4.67,36.55,20.43,5.27,5.95,7.21,24.59,RCI
17-3025.00,Environmental Engineering Technologists and Technicians,6.28,5.90,1.73,1.46,1.32,4.80,29.22,27.45,8.05,6.79,6.14,22.34,RIC
17-3026.00,Industrial Engineering Technologists and Technicians,5.34,5.13,1.22,1.44,2.31,5.20,25.87,24.85,5.91,6.98,11.19,25.19,RCI
17-3026.01,Nanotechnology Engineering Technologists and Technicians,6.16,4.98,1.55,1.05,2.01,4.83,29.93,24.20,7.53,5.10,9.77,23.47,RIC
17-3027.00,Mechanical Engineering Technologists and Technicians,6.26,5.37,2.19,1.19,1.08,4.76,30.02,25.76,10.50,5.71,5.18,22.83,RIC
17-3027.01,Automotive Engineering Technicians,7.00,5.37,1.41,1.00,1.25,4.45,34.18,26.22,6.88,4.88,6.10,21.73,RIC
17-3028.00,Calibration Technologists and Technicians,6.30,4.13,1.12,1.56,1.00,5.59,31.98,20.96,5.69,7.92,5.08,28.38,RCI
17-3029.01,Non-Destructive Testing Specialists,6.41,4.97,1.34,1.40,1.00,4.56,32.57,25.25,6.81,7.11,5.08,23.17,RIC
17-3029.08,Photonics Technicians,7.00,4.18,1.00,1.00,1.00,5.46,35.64,21.28,5.09,5.09,5.09,27.80,RCI
