soc_code,title,r,i,a,s,e,c,r_pct,i_pct,a_pct,s_pct,e_pct,c_pct,holland_code
39-6012.00,Concierges,2.70,1.00,2.29,5.34,4.67,4.18,13.38,4.96,11.35,26.46,23.14,20.71,SEC
39-7011.00,Tour Guides and Escorts,3.33,2.40,3.46,5.35,3.64,2.85,15.83,11.41,16.45,25.44,17.31,13.55,SEA
39-7012.00,Travel Guides,2.45,2.34,2.45,4.84,4.61,4.30,11.67,11.15,11.67,23.06,21.96,20.49,SEC
39-9011.00,Childcare Workers,3.08,1.48,3.58,6.18,2.75,3.44,15.02,7.22,17.45,30.13,13.41,16.77,SAC
39-9011.01,Nannies,2.91,2.19,3.50,6.30,2.68,3.34,13.91,10.47,16.73,30.11,12.81,15.97,SAC
39-9031.00,Exercise Trainers and Group Fitness Instructors,5.23,2.71,2.40,5.62,3.51,2.98,23.30,12.07,10.69,25.03,15.63,13.27,SRE
39-9032.00,Recreation Workers,3.75,1.98,3.05,4.90,4.51,3.46,17.32,9.15,14.09,22.63,20.83,15.98,SER
39-9041.00,Residential Advisors,2.82,2.37,2.25,5.28,3.81,4.63,13.33,11.20,10.63,24.95,18.01,21.88,SCE
41-1011.00,First-Line Supervisors of Retail Sales Workers,2.75,1.14,1.00,3.64,7.00,5.61,13.01,5.39,4.73,17.22,33.11,26.54,ECS
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,1.74,1.11,1.00,4.08,7.00,5.31,8.60,5.48,4.94,20.16,34.58,26.24,ECS
41-2011.00,Cashiers,2.90,1.00,1.00,2.59,3.62,6.21,16.74,5.77,5.77,14.95,20.90,35.85,CER
41-2012.00,Gambling Change Persons and Booth Cashiers,3.07,1.00,1.06,2.43,4.19,6.36,16.95,5.52,5.85,13.42,23.14,35.12,CER
41-2021.00,Counter and Rental Clerks,3.17,1.00,1.27,3.30,3.86,5.90,17.14,5.41,6.86,17.84,20.86,31.89,CES
41-2022.00,Parts Salespersons,5.64,1.60,1.00,1.96,3.83,5.12,29.45,8.36,5.22,10.23,20.00,26.74,RCE
41-2031.00,Retail Salespersons,3.20,1.00,1.98,2.96,6.13,5.17,15.66,4.89,9.69,14.48,29.99,25.29,ECR
41-3011.00,Advertising Sales Agents,1.18,1.52,3.64,2.96,6.65,4.34,5.82,7.49,17.94,14.59,32.77,21.39,ECA
41-3021.00,Insurance Sales Agents,1.00,2.25,1.09,3.71,5.95,5.46,5.14,11.56,5.60,19.06,30.58,28.06,ECS
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",1.26,2.53,1.29,3.07,6.08,5.27,6.46,12.97,6.62,15.74,31.18,27.03,ECS
41-3041.00,Travel Agents,1.15,1.51,1.90,4.31,5.78,5.77,5.63,7.39,9.30,21.11,28.31,28.26,ECS
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1.07,1.94,1.45,3.75,6.73,5.07,5.35,9.70,7.25,18.74,33.63,25.34,ECS
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.80,3.15,1.44,3.12,5.27,5.14,13.38,15.06,6.88,14.91,25.19,24.57,ECI
41-4011.07,Solar Sales Representatives and Assessors,3.52,2.73,1.39,2.75,5.56,4.43,17.27,13.40,6.82,13.49,27.28,21.74,ECR
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2.63,2.24,1.65,2.69,6.12,4.92,12.99,11.06,8.15,13.28,30.22,24.30,ECS
41-9011.00,Demonstrators and Product Promoters,3.24,1.89,3.31,3.26,5.38,3.56,15.70,9.16,16.04,15.79,26.07,17.25,ECA
41-9012.00,Models,5.01,1.09,6.91,2.49,3.71,2.26,23.33,5.08,32.18,11.60,17.28,10.53,ARE
41-9021.00,Real Estate Brokers,2.71,1.52,1.00,2.90,6.48,5.76,13.30,7.46,4.91,14.24,31.81,28.28,ECS
41-9022.00,Real Estate Sales Agents,2.12,1.47,1.92,3.52,6.46,4.94,10.38,7.20,9.40,17.23,31.62,24.18,ECS
41-9031.00,Sales Engineers,3.38,3.58,1.76,2.82,5.78,4.51,15.48,16.40,8.06,12.92,26.48,20.66,ECI
41-9041.00,Telemarketers,1.87,1.09,1.24,3.61,5.36,5.07,10.25,5.98,6.80,19.79,29.39,27.80,ECS
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",3.56,1.00,2.04,2.79,5.52,4.70,18.15,5.10,10.40,14.23,28.15,23.97,ECR
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1.58,1.38,1.00,4.33,6.90,5.70,7.56,6.61,4.79,20.73,33.03,27.29,ECS
43-2011.00,"Switchboard Operators, Including Answering Service",3.63,1.39,1.00,2.91,3.18,5.95,20.10,7.70,5.54,16.11,17.61,32.95,CRE
43-2021.00,Telephone Operators,3.23,1.14,1.00,4.05,3.33,6.21,17.04,6.01,5.27,21.36,17.56,32.75,CSE
43-3011.00,Bill and Account Collectors,2.08,1.00,1.00,3.26,4.36,7.00,11.12,5.35,5.35,17.43,23.32,37.43,CES
43-3021.00,Billing and Posting Clerks,2.83,1.59,1.00,1.47,2.76,7.00,17.00,9.55,6.01,8.83,16.58,42.04,CRE
